Borough,Density
Barking and Dagenham,"5,871"
Barnet,"4,520"
Bexley,"4,082"
Brent,"7,652"
Bromley,"2,205"
Camden,"12,035"
Croydon,"4,455"
Ealing,"6,157"
Enfield,"4,130"
Greenwich,"6,046"
Hackney,"14,681"
Hammersmith and Fulham,"11,308"
Haringey,"9,143"
Harrow,"4,957"
Havering,"2,295"
Hillingdon,"2,635"
Hounslow,"4,837"
Islington,"16,097"
Kensington and Chelsea,"12,884"
Kingston upon Thames,"4,709"
Lambeth,"12,157"
Lewisham,"8,636"
Merton,"5,480"
Newham,"9,723"
Redbridge,"5,386"
Richmond upon Thames,"3,430"
Southwark,"10,992"
Sutton,"4,665"
Tower Hamlets,"16,057"
Waltham Forest,"7,130"
Wandsworth,"9,528"
Westminster,"11,883"