Borough,N_employees
Barking and Dagenham,"57,715"
Barnet,"134,650"
Bexley,"78,930"
Brent,"123,260"
Bromley,"108,250"
Camden,"382,785"
City of London,"541,450"
Croydon,"126,125"
Ealing,"137,725"
Enfield,"106,925"
Greenwich,"86,040"
Hackney,"132,810"
Hammersmith and Fulham,"138,835"
Haringey,"69,020"
Harrow,"73,120"
Havering,"87,625"
Hillingdon,"190,825"
Hounslow,"164,275"
Islington,"238,715"
Kensington and Chelsea,"142,425"
Kingston upon Thames,"79,175"
Lambeth,"153,450"
Lewisham,"67,240"
Merton,"80,400"
Newham,"114,010"
Redbridge,"79,985"
Richmond upon Thames,"83,020"
Southwark,"254,375"
Sutton,"72,450"
Tower Hamlets,"307,615"
Waltham Forest,"73,320"
Wandsworth,"121,370"
Westminster,"754,650"